name,year,city,region,cuisine,price,url,stars,price_ordinal,price_mean,cuisine_original,major_city,stars_n,Review_rating,Review_count
andrew fairlie at gleneagles,2019,Auchterarder,United Kingdom,french,$$$$,https://guide.michelin.com/gb/en/perth-and-kinross/auchterarder/restaurant/andrew-fairlie-at-gleneagles,2 stars,4,100.0,creative french,Auchterarder,2,,
angler,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1 star,4,100.0,contemporary,San Francisco,1,,
angler,2019,Finsbury,United Kingdom,seafood,$$$,https://guide.michelin.com/gb/en/greater-london/finsbury/restaurant/angler392235,1 star,3,62.5,seafood,Finsbury,1,,
aniar,2019,Gaillimh Galway,Ireland,creative,$$$,https://guide.michelin.com/ie/en/galway/gaillimh-galway/restaurant/aniar,1 star,3,62.5,creative,Gaillimh Galway,1,,
aquavit,2019,New York,New York City,scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit,2 stars,4,100.0,scandinavian,New York,2,,
aquavit,2019,Saint James'S,United Kingdom,scandinavian,$$$,https://guide.michelin.com/gb/en/greater-london/saint-james-s/restaurant/aquavit501082,1 star,3,62.5,scandinavian,Saint James'S,1,,
arbor,2019,,Hong Kong,international cuisine,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arbor,1 star,3,62.5,innovative,,1,,
arcane,2019,Hong Kong,Hong Kong,other european,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arcane,1 star,3,62.5,european contemporary,Hong Kong,1,,
ask,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask,1 star,3,62.5,modern cuisine,Helsingfors   Helsinki,1,,
aska,2019,New York,New York City,scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska,2 stars,4,100.0,scandinavian,New York,2,,
aster,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,1 star,3,62.5,californian,San Francisco,1,,
atelier amaro,2019,Warszawa,Poland,international cuisine,$$$$,https://guide.michelin.com/pl/en/masovia/warszawa/restaurant/atelier-amaro,1 star,4,100.0,modern cuisine,Warszawa,1,,
atelier crenn,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,3 stars,4,100.0,contemporary,San Francisco,3,,
atera,2019,New York,New York City,contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera,2 stars,4,100.0,contemporary,New York,2,,
atomix,2019,New York,New York City,korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atomix,1 star,4,100.0,korean,New York,1,,
auberge du soleil,2019,San Francisco,California,american,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1 star,4,100.0,californian,San Francisco,1,,
aubergine,2019,Monterey,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1 star,4,100.0,contemporary,Monterey,1,,
a‚o‚c,2019,København,Denmark,international cuisine,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/a%E2%80%9Ao%E2%80%9Ac,2 stars,4,100.0,modern cuisine,København,2,,
babbo,2019,New York,New York City,italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/babbo,1 star,4,100.0,italian,New York,1,,
babel,2019,Budapest,Hungary,international cuisine,$$$$,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/babel,1 star,4,100.0,modern cuisine,Budapest,1,,
bacchanalia,2018,Singapore,Singapore,international cuisine,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/bacchanalia,1 star,2,37.5,innovative,Singapore,1,,
balwoo gongyang,2019,Seoul,South Korea,korean,$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/balwoo-gongyang,1 star,2,37.5,temple cuisine,Seoul,1,,
band of bohemia,2019,Chicago,Chicago,gastropub,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1 star,3,62.5,gastropub,Chicago,1,,
bar crenn,2019,San Francisco,California,french,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1 star,3,62.5,french,San Francisco,1,,
bar uchū,2019,New York,New York City,japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-uchu,1 star,4,100.0,japanese,New York,1,,
barrafina,2019,Soho,United Kingdom,spanish,$$$,https://guide.michelin.com/gb/en/greater-london/soho/restaurant/barrafina,1 star,3,62.5,spanish,Soho,1,,
baumé,2019,South San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,2 stars,4,100.0,contemporary,South San Francisco,2,,
beefbar,2019,Hong Kong,Hong Kong,american,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/beefbar,1 star,2,37.5,steakhouse,Hong Kong,1,,
belmond le manoir aux quat' saisons,2019,Great Milton,United Kingdom,french,$$$$,https://guide.michelin.com/gb/en/oxfordshire/great-milton/restaurant/belmond-le-manoir-aux-quat-saisons,2 stars,4,100.0,french,Great Milton,2,,
belon,2019,Hong Kong,Hong Kong,french,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/belon,1 star,3,62.5,french,Hong Kong,1,,
benares,2019,Mayfair,United Kingdom,indian,$$$,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/benares,1 star,3,62.5,indian,Mayfair,1,,
benu,2019,San Francisco,California,other asian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,3 stars,4,100.0,asian,San Francisco,3,,
bhoga,2019,Göteborg,Sweden,creative,$$$,https://guide.michelin.com/se/en/vastra-gotaland/goteborg/restaurant/bhoga,1 star,3,62.5,creative,Göteborg,1,,
bicena,2019,Seoul,South Korea,korean,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/bicena,1 star,3,62.5,korean,Seoul,1,,
birdsong,2019,San Francisco,California,american,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1 star,4,100.0,american,San Francisco,1,,
bistro na's,2019,Los Angeles,California,chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1 star,2,37.5,chinese,Los Angeles,1,,
black rat,2019,Winchester,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/hampshire/winchester/restaurant/black-rat,1 star,3,62.5,modern cuisine,Winchester,1,,
black swan,2019,Oldstead,United Kingdom,british,$$$,https://guide.michelin.com/gb/en/north-yorkshire/oldstead/restaurant/black-swan,1 star,3,62.5,modern british,Oldstead,1,,
blackbird,2019,Newbury,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/west-berkshire/newbury/restaurant/blackbird552018,1 star,3,62.5,classic cuisine,Newbury,1,,
blackbird,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1 star,3,62.5,contemporary,Chicago,1,,
blanca,2019,New York,New York City,contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blanca,2 stars,4,100.0,contemporary,New York,2,,
bloom in the park,2019,Malmö,Sweden,creative,$$,https://guide.michelin.com/se/en/skane/malmo/restaurant/bloom-in-the-park,1 star,2,37.5,creative,Malmö,1,,
blue duck tavern,2019,"Washington, D.C.",Washington DC,american,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/blue-duck-tavern,1 star,3,62.5,american,"Washington, D.C.",1,,
blue hill,2019,New York,New York City,american,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill,1 star,4,100.0,american,New York,1,,
bo innovation,2019,Hong Kong,Hong Kong,international cuisine,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/bo-innovation,3 stars,4,100.0,innovative,Hong Kong,3,,
bo.lan,2019,Bangkok,Thailand,other asian,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/bo-lan,1 star,4,100.0,thai,Bangkok,1,,
bohemia,2019,Saint Helier Saint Hélier,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/saint-helier/saint-helier-saint-helier/restaurant/bohemia,1 star,3,62.5,modern cuisine,Saint Helier Saint Hélier,1,,
boka,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1 star,3,62.5,contemporary,Chicago,1,,
borkonyha winekitchen,2019,Budapest,Hungary,international cuisine,$$$$,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/borkonyha-winekitchen,1 star,4,100.0,modern cuisine,Budapest,1,,
botrini's,2019,Athína,Greece,other european,$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/botrini-s,1 star,4,100.0,mediterranean,Athína,1,,
bouchon,2019,San Francisco,California,french,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1 star,3,62.5,french,San Francisco,1,,
bouley at home,2019,New York,New York City,contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bouley-at-home,1 star,3,62.5,contemporary,New York,1,,
braci,2018,Singapore,Singapore,italian,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/braci,1 star,2,37.5,italian contemporary,Singapore,1,,
braidwoods,2019,Dalry,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/north-ayrshire/dalry/restaurant/braidwoods,1 star,3,62.5,classic cuisine,Dalry,1,,
brat,2019,Shoreditch,United Kingdom,british,$$$,https://guide.michelin.com/gb/en/greater-london/shoreditch/restaurant/brat,1 star,3,62.5,traditional british,Shoreditch,1,,
bresca,2019,"Washington, D.C.",Washington DC,contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bresca,1 star,2,37.5,contemporary,"Washington, D.C.",1,,
bulrush,2019,Bristol,United Kingdom,british,$$$,https://guide.michelin.com/gb/en/south-gloucestershire/bristol/restaurant/bulrush,1 star,3,62.5,modern british,Bristol,1,,
burnt ends,2018,Singapore,Singapore,american,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/burnt-ends,1 star,2,37.5,barbecue,Singapore,1,,
bybrook,2019,Castle Combe,United Kingdom,british,$$$,https://guide.michelin.com/gb/en/wiltshire/castle-combe/restaurant/bybrook,1 star,3,62.5,modern british,Castle Combe,1,,
bâtard,2019,New York,New York City,contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/batard,1 star,4,100.0,contemporary,New York,1,,
béni,2018,Singapore,Singapore,french,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/beni,1 star,2,37.5,french contemporary,Singapore,1,,
café boulud,2019,New York,New York City,french,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-boulud,1 star,4,100.0,french,New York,1,,
café china,2019,New York,New York City,chinese,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-china,1 star,2,37.5,chinese,New York,1,,
californios,2019,San Francisco,California,mexican,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,2 stars,4,100.0,mexican,San Francisco,2,,
campagne,2019,Cill Chainnigh Kilkenny,Ireland,british,$$$,https://guide.michelin.com/ie/en/kilkenny/cill-chainnigh-kilkenny/restaurant/campagne,1 star,3,62.5,modern british,Cill Chainnigh Kilkenny,1,,
campton place,2019,San Francisco,California,indian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,2 stars,4,100.0,indian,San Francisco,2,,
candlenut,2018,Singapore,Singapore,other asian,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/candlenut,1 star,1,20.0,peranakan,Singapore,1,,
canvas,2019,Bangkok,Thailand,international cuisine,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/canvas566292,1 star,4,100.0,innovative,Bangkok,1,,
caprice,2019,Hong Kong,Hong Kong,french,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/caprice,3 stars,4,100.0,french,Hong Kong,3,,
carbone,2019,New York,New York City,italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carbone,1 star,4,100.0,italian,New York,1,,
carpe diem,2019,Salzburg,Austria,international cuisine,$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1 star,4,100.0,market cuisine,Salzburg,1,,
carters of moseley,2019,Birmingham,United Kingdom,british,$$$,https://guide.michelin.com/gb/en/west-midlands/birmingham/restaurant/carters-of-moseley,1 star,3,62.5,modern british,Birmingham,1,,
casa enríque,2019,New York,New York City,mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-enrique,1 star,2,37.5,mexican,New York,1,,
casa mono,2019,New York,New York City,spanish,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-mono,1 star,3,62.5,spanish,New York,1,,
casamia,2019,Bristol,United Kingdom,creative,$$$,https://guide.michelin.com/gb/en/south-gloucestershire/bristol/restaurant/casamia,1 star,3,62.5,creative,Bristol,1,,
caviar russe,2019,New York,New York City,contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/caviar-russe,1 star,4,100.0,contemporary,New York,1,,
celebrity cuisine,2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/celebrity-cuisine,1 star,2,37.5,cantonese,Hong Kong,1,,
chapter one,2019,City Centre,Ireland,international cuisine,$$$,https://guide.michelin.com/ie/en/dublin/city-centre/restaurant/chapter-one,1 star,3,62.5,modern cuisine,City Centre,1,,
cheek by jowl,2018,Singapore,Singapore,australian,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/cheek-by-jowl,1 star,1,20.0,australian,Singapore,1,,
chef kang's,2018,Singapore,Singapore,chinese,$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/chef-kang-s,1 star,3,62.5,cantonese,Singapore,1,,
chef's table at brooklyn fare,2019,New York,New York City,contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,3 stars,4,100.0,contemporary,New York,3,4.2,575.0
chestnut,2019,Ballydehob,Ireland,international cuisine,$$$,https://guide.michelin.com/ie/en/cork/ballydehob/restaurant/chestnut,1 star,3,62.5,modern cuisine,Ballydehob,1,,
chez bruce,2019,Wandsworth,United Kingdom,french,$$$,https://guide.michelin.com/gb/en/greater-london/wandsworth/restaurant/chez-bruce,1 star,3,62.5,french,Wandsworth,1,,
chez tj,2019,South San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1 star,4,100.0,contemporary,South San Francisco,1,,
chim by siam wisdom,2019,Bangkok,Thailand,other asian,$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/chim-by-siam-wisdom,1 star,3,62.5,thai,Bangkok,1,,
cipriani,2019,Rio De Janeiro,Rio de Janeiro,italian,$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/cipriani,1 star,4,100.0,italian,Rio De Janeiro,1,,
city social,2019,City Of London,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/greater-london/city-of-london/restaurant/city-social,1 star,3,62.5,modern cuisine,City Of London,1,,
claro,2019,New York,New York City,mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/claro,1 star,2,37.5,mexican,New York,1,,
claude bosi at bibendum,2019,Chelsea,United Kingdom,french,$$$$,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/claude-bosi-at-bibendum,2 stars,4,100.0,french,Chelsea,2,,
clock house,2019,Ripley,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/surrey/ripley/restaurant/clock-house,1 star,3,62.5,modern cuisine,Ripley,1,,
clou,2019,København,Denmark,international cuisine,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,1 star,4,100.0,modern cuisine,København,1,,
club gascon,2019,London,United Kingdom,french,$$$,https://guide.michelin.com/gb/en/greater-london/london/restaurant/club-gascon,1 star,3,62.5,french,London,1,,
coi,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,2 stars,4,100.0,contemporary,San Francisco,2,,
commis,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,2 stars,4,100.0,contemporary,San Francisco,2,,
commonwealth,2019,San Francisco,California,contemporary,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1 star,2,37.5,contemporary,San Francisco,1,,
contra,2019,New York,New York City,contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/contra,1 star,4,100.0,contemporary,New York,1,,
core by clare smyth,2019,North Kensington,United Kingdom,british,$$$$,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/core-by-clare-smyth,2 stars,4,100.0,modern british,North Kensington,2,,
corner house,2018,Singapore,Singapore,international cuisine,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/corner-house,1 star,2,37.5,innovative,Singapore,1,,
costes,2019,Budapest,Hungary,international cuisine,$$$$,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/costes,1 star,4,100.0,modern cuisine,Budapest,1,,
costes downtown,2019,Budapest,Hungary,international cuisine,$$$$,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/costes-downtown,1 star,4,100.0,modern cuisine,Budapest,1,,
cote,2019,New York,New York City,korean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cote,1 star,3,62.5,korean,New York,1,,
coworth park,2019,Ascot,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/windsor-and-maidenhead/ascot/restaurant/coworth-park,1 star,3,62.5,modern cuisine,Ascot,1,,
credo,2019,Trondheim,Norway,creative,$$$$,https://guide.michelin.com/no/en/trondelag/trondheim/restaurant/credo,1 star,4,100.0,creative,Trondheim,1,,
crown,2019,Burchett'S Green,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/windsor-and-maidenhead/burchett-s-green/restaurant/crown442549,1 star,3,62.5,regional cuisine,Burchett'S Green,1,,
crystal jade golden palace,2018,Singapore,Singapore,chinese,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/crystal-jade-golden-palace,1 star,1,20.0,chinese,Singapore,1,,
cut,2019,Los Angeles,California,american,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1 star,4,100.0,steakhouse,Los Angeles,1,,
cut,2018,Singapore,Singapore,american,$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/cut,1 star,3,62.5,steakhouse,Singapore,1,,
céleste,2019,Belgravia,United Kingdom,french,$$$,https://guide.michelin.com/gb/en/greater-london/belgravia/restaurant/celeste,1 star,3,62.5,creative french,Belgravia,1,,
d.o.m.,2019,São Paulo,Sao Paulo,creative,$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/d-o-m,2 stars,4,100.0,creative,São Paulo,2,,
da san yuan,2019,Taipei,Taipei,chinese,$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/da-san-yuan,1 star,1,20.0,cantonese,Taipei,1,,
da-wan,2019,Taipei,Taipei,american,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/da-wan,1 star,3,62.5,barbecue,Taipei,1,,
daniel,2019,New York,New York City,french,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel,2 stars,4,100.0,french,New York,2,,
daniel berlin,2019,Skåne Tranås,Sweden,creative,$$$$,https://guide.michelin.com/se/en/skane/skane-tranas/restaurant/daniel-berlin,2 stars,4,100.0,creative,Skåne Tranås,2,,
danny's steakhouse,2019,Taipei,Taipei,american,$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/danny-s-steakhouse,1 star,2,37.5,steakhouse,Taipei,1,,
das loft,2019,Wien,Austria,international cuisine,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1 star,4,100.0,modern cuisine,Wien,1,,
del posto,2019,New York,New York City,italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/del-posto,1 star,4,100.0,italian,New York,1,,
demo,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo,1 star,3,62.5,modern cuisine,Helsingfors   Helsinki,1,,
dialogue,2019,Los Angeles,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1 star,4,100.0,contemporary,Los Angeles,1,,
dining in space,2019,Seoul,South Korea,french,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/dining-in-space,1 star,3,62.5,french contemporary,Seoul,1,,
dining room at the goring,2019,Victoria,United Kingdom,british,$$$,https://guide.michelin.com/gb/en/greater-london/victoria/restaurant/dining-room-at-the-goring,1 star,3,62.5,traditional british,Victoria,1,,
dinner by heston blumenthal,2019,Hyde Park,United Kingdom,british,$$$$,https://guide.michelin.com/gb/en/greater-london/hyde-park/restaurant/dinner-by-heston-blumenthal,2 stars,4,100.0,traditional british,Hyde Park,2,,
domestic,2019,Aarhus,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,1 star,3,62.5,modern cuisine,Aarhus,1,,
dosa,2019,Seoul,South Korea,international cuisine,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/dosa511871,1 star,3,62.5,innovative,Seoul,1,,
draga di lovrana,2019,Lovran,Croatia,international cuisine,$$$$,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1 star,4,100.0,modern cuisine,Lovran,1,,
driftwood,2019,Portscatho,United Kingdom,international cuisine,$$$,https://guide.michelin.com/gb/en/cornwall/portscatho/restaurant/driftwood,1 star,3,62.5,modern cuisine,Portscatho,1,,
duddell's,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/duddell-s,1 star,3,62.5,cantonese,Hong Kong,1,,
