name,year,city,region,cuisine,price,url,stars,major_city
jū-ni,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1 star,San Francisco
keiko à nob hill,2019,San Francisco,California,other asian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1 star,San Francisco
the progress,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1 star,San Francisco
state bird provisions,2019,San Francisco,California,american,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1 star,San Francisco
octavia,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1 star,San Francisco
spqr,2019,San Francisco,California,italian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1 star,San Francisco
lord stanley,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,1 star,San Francisco
kinjo,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1 star,San Francisco
sorrel,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1 star,San Francisco
gary danko,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1 star,San Francisco
bar crenn,2019,San Francisco,California,french,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1 star,San Francisco
spruce,2019,San Francisco,California,american,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1 star,San Francisco
wako,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1 star,San Francisco
madcap,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1 star,San Francisco
aubergine,2019,Monterey,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1 star,Monterey
kenzo,2019,San Francisco,California,japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1 star,San Francisco
la toque,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1 star,San Francisco
bouchon,2019,San Francisco,California,french,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1 star,San Francisco
auberge du soleil,2019,San Francisco,California,american,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1 star,San Francisco
farmhouse inn & restaurant,2019,San Francisco,California,american,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1 star,San Francisco
the kitchen,2019,Sacramento,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1 star,Sacramento
madrona manor,2019,San Francisco,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1 star,San Francisco
harbor house,2019,San Francisco,California,american,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1 star,San Francisco
shin sushi,2019,Los Angeles,California,japanese,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1 star,Los Angeles
rustic canyon,2019,Los Angeles,California,american,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1 star,Los Angeles
dialogue,2019,Los Angeles,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1 star,Los Angeles
kato,2019,Los Angeles,California,other asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1 star,Los Angeles
cut,2019,Los Angeles,California,american,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1 star,Los Angeles
nozawa bar,2019,Los Angeles,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1 star,Los Angeles
shunji,2019,Los Angeles,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1 star,Los Angeles
maude,2019,Los Angeles,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1 star,Los Angeles
mori sushi,2019,Los Angeles,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1 star,Los Angeles
trois mec,2019,Los Angeles,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1 star,Los Angeles
osteria mozza,2019,Los Angeles,California,italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1 star,Los Angeles
kali,2019,Los Angeles,California,american,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1 star,Los Angeles
le comptoir,2019,Los Angeles,California,american,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1 star,Los Angeles
q sushi,2019,Los Angeles,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1 star,Los Angeles
shibumi,2019,Los Angeles,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1 star,Los Angeles
hayato,2019,Los Angeles,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1 star,Los Angeles
bistro na's,2019,Los Angeles,California,chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1 star,Los Angeles
orsa & winston,2019,Los Angeles,California,other asian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1 star,Los Angeles
taco maría,2019,Costa Mesa,California,mexican,$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1 star,Costa Mesa
hana re,2019,Costa Mesa,California,japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1 star,Costa Mesa
addison,2019,San Diego,California,contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1 star,San Diego
parachute,2019,Chicago,Chicago,other asian,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1 star,Chicago
goosefoot,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1 star,Chicago
elizabeth,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1 star,Chicago
el ideas,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1 star,Chicago
band of bohemia,2019,Chicago,Chicago,gastropub,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1 star,Chicago
schwa,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1 star,Chicago
temporis,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1 star,Chicago
entente,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1 star,Chicago
elske,2019,Chicago,Chicago,contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1 star,Chicago
dusek's (board & beer),2019,Chicago,Chicago,gastropub,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1 star,Chicago
roister,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1 star,Chicago
boka,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1 star,Chicago
blackbird,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1 star,Chicago
sepia,2019,Chicago,Chicago,american,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1 star,Chicago
north pond,2019,Chicago,Chicago,contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1 star,Chicago
everest,2019,Chicago,Chicago,french,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1 star,Chicago
topolobampo,2019,Chicago,Chicago,mexican,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1 star,Chicago
spiaggia,2019,Chicago,Chicago,italian,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1 star,Chicago
monte,2019,Rovinj,Croatia,creative,$$$$$,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,1 star,Rovinj
draga di lovrana,2019,Lovran,Croatia,international cuisine,$$$$$,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1 star,Lovran
noel,2019,Zagreb,Croatia,international cuisine,$$$$$,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,1 star,Zagreb
pelegrini,2019,Sibenik,Croatia,international cuisine,$$$$$,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,1 star,Sibenik
360º,2019,Dubrovnik,Croatia,international cuisine,$$$$$,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1 star,Dubrovnik
field,2019,Praha,Czech Republic,international cuisine,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,1 star,Praha
la degustation bohême bourgeoise,2019,Praha,Czech Republic,international cuisine,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,1 star,Praha
gastromé,2019,Aarhus,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,1 star,Aarhus
domestic,2019,Aarhus,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,1 star,Aarhus
substans,2019,Aarhus,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,1 star,Aarhus
frederikshøj,2019,Aarhus,Denmark,creative,$$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,1 star,Aarhus
me‚mu,2019,Vejle,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu,1 star,Vejle
ti trin ned,2019,Fredericia,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned,1 star,Fredericia
slotskøkkenet,2019,Horve,Denmark,creative,$$$$,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet,1 star,Horve
søllerød kro,2019,Kobenhavn,Denmark,international cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro,1 star,Kobenhavn
jordnær,2019,Kobenhavn,Denmark,danish,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer,1 star,Kobenhavn
relæ,2019,Kobenhavn,Denmark,international cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae,1 star,Kobenhavn
kiin kiin,2019,Kobenhavn,Denmark,other asian,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin,1 star,Kobenhavn
formel b,2019,Kobenhavn,Denmark,international cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,1 star,Kobenhavn
kokkeriet,2019,Kobenhavn,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet,1 star,Kobenhavn
clou,2019,Kobenhavn,Denmark,international cuisine,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,1 star,Kobenhavn
marchal,2019,Kobenhavn,Denmark,international cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal,1 star,Kobenhavn
kong hans kælder,2019,Kobenhavn,Denmark,french,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder,1 star,Kobenhavn
stud!o at the standard,2019,Kobenhavn,Denmark,creative,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/stud-o-at-the-standard,1 star,Kobenhavn
108,2019,Kobenhavn,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,1 star,Kobenhavn
era ora,2019,Kobenhavn,Denmark,italian,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/era-ora,1 star,Kobenhavn
alouette,2019,Kobenhavn,Denmark,international cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette,1 star,Kobenhavn
frederiksminde,2019,Praesto,Denmark,creative,$$$,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde,1 star,Praesto
kadeau bornholm,2019,Pedersker,Denmark,creative,$$$$,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm,1 star,Pedersker
ask,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask,1 star,Helsingfors   Helsinki
grön,2019,Helsingfors   Helsinki,Finland,finnish,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron,1 star,Helsingfors   Helsinki
demo,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo,1 star,Helsingfors   Helsinki
olo,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/olo,1 star,Helsingfors   Helsinki
palace,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/palace,1 star,Helsingfors   Helsinki
ora,2019,Helsingfors   Helsinki,Finland,international cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ora,1 star,Helsingfors   Helsinki
botrini's,2019,Athina,Greece,other european,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/botrini-s,1 star,Athina
varoulko seaside,2019,Athina,Greece,seafood,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/varoulko-seaside,1 star,Athina
hytra,2019,Athina,Greece,international cuisine,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra,1 star,Athina
loaf on,2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/loaf-on,1 star,Hong Kong
lei garden (kwun tong),2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong,1 star,Hong Kong
tim ho wan (sham shui po),2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tim-ho-wan-sham-shui-po,1 star,Hong Kong
lei garden (mong kok),2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok,1 star,Hong Kong
ming court,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ming-court,1 star,Hong Kong
yat tung heen (jordan),2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan,1 star,Hong Kong
fu ho (tsim sha tsui),2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,1 star,Hong Kong
shang palace,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/shang-palace,1 star,Hong Kong
im teppanyaki & wine,2019,Hong Kong,Hong Kong,japanese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine,1 star,Hong Kong
ah yat harbour view (tsim sha tsui),2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui,1 star,Hong Kong
rech,2019,Hong Kong,Hong Kong,seafood,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/rech,1 star,Hong Kong
spring moon,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/spring-moon,1 star,Hong Kong
imperial treasure fine chinese cuisine,2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine,1 star,Hong Kong
sushi tokami,2019,Hong Kong,Hong Kong,japanese,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-tokami,1 star,Hong Kong
tosca,2019,Hong Kong,Hong Kong,italian,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tosca352519,1 star,Hong Kong
épure,2019,nan,Hong Kong,french,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/epure,1 star,nan
yee tung heen,2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yee-tung-heen,1 star,Hong Kong
yè shanghai (tsim sha tsui),2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui,1 star,Hong Kong
ho hung kee,2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee,1 star,Hong Kong
jardin de jade (wan chai),2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,1 star,Hong Kong
zhejiang heen,2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen,1 star,Hong Kong
takumi by daisuke mori,2019,Hong Kong,Hong Kong,international cuisine,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori,1 star,Hong Kong
kam's roast goose,2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose,1 star,Hong Kong
pang's kitchen,2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,1 star,Hong Kong
xin rong ji,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/xin-rong-ji,1 star,Hong Kong
qi (wan chai),2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/qi-wan-chai,1 star,Hong Kong
man wah,2019,Hong Kong,Hong Kong,chinese,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/man-wah,1 star,Hong Kong
summer palace,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/summer-palace,1 star,Hong Kong
octavium,2019,Hong Kong,Hong Kong,italian,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/octavium,1 star,Hong Kong
arbor,2019,nan,Hong Kong,international cuisine,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arbor,1 star,nan
vea,2019,Hong Kong,Hong Kong,international cuisine,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/vea,1 star,Hong Kong
mandarin grill + bar,2019,Hong Kong,Hong Kong,other european,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar,1 star,Hong Kong
yat lok,2019,Hong Kong,Hong Kong,chinese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-lok,1 star,Hong Kong
guo fu lou,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/guo-fu-lou567828,1 star,Hong Kong
celebrity cuisine,2019,Hong Kong,Hong Kong,chinese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/celebrity-cuisine,1 star,Hong Kong
sushi wadatsumi,2019,Hong Kong,Hong Kong,japanese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-wadatsumi,1 star,Hong Kong
arcane,2019,Hong Kong,Hong Kong,other european,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arcane,1 star,Hong Kong
duddell's,2019,Hong Kong,Hong Kong,chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/duddell-s,1 star,Hong Kong
beefbar,2019,Hong Kong,Hong Kong,american,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/beefbar,1 star,Hong Kong
new punjab club,2019,Hong Kong,Hong Kong,indian,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/new-punjab-club,1 star,Hong Kong
kaiseki den by saotome,2019,Hong Kong,Hong Kong,japanese,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kaiseki-den-by-saotome,1 star,Hong Kong
belon,2019,Hong Kong,Hong Kong,french,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/belon,1 star,Hong Kong
tate,2019,Hong Kong,Hong Kong,international cuisine,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tate,1 star,Hong Kong
the ocean,2019,Hong Kong,Hong Kong,french,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/the-ocean,1 star,Hong Kong
costes downtown,2019,Budapest,Hungary,international cuisine,$$$$,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/costes-downtown,1 star,Budapest
